timestamp,ist_datetime,ltp,chp,volume,oi,oipercent,totalbuyqty,totalsellqty,bid_price_1,bid_qty_1,bid_orders_1,bid_price_2,bid_qty_2,bid_orders_2,bid_price_3,bid_qty_3,bid_orders_3,bid_price_4,bid_qty_4,bid_orders_4,bid_price_5,bid_qty_5,bid_orders_5,ask_price_1,ask_qty_1,ask_orders_1,ask_price_2,ask_qty_2,ask_orders_2,ask_price_3,ask_qty_3,ask_orders_3,ask_price_4,ask_qty_4,ask_orders_4,ask_price_5,ask_qty_5,ask_orders_5,open,high,low,close
1745817409,2025-04-28 10:46:49,24391.2,1.04,3540525,12519450,6.67,439725,508875,24200.2,24415,24140,24139.1,24384.2,300,1,24383.7,375,1,24383.6,150,1,24383.5,300,1,24383.4,225,2,24391.2,900,4,24391.3,825,3,24391.4,675,2,24391.5,225,2,24391.6,150,2
1745817410,2025-04-28 10:46:50,24391.5,1.05,3540525,12519450,6.67,439725,508875,24200.2,24415,24140,24139.1,24384.2,300,1,24383.7,375,1,24383.6,150,1,24383.5,300,1,24383.4,225,2,24391.2,900,4,24391.3,825,3,24391.4,675,2,24391.5,225,2,24391.6,150,2
1745817411,2025-04-28 10:46:51,24391.5,1.05,3540675,12519450,6.67,497475,507450,24200.2,24415,24140,24139.1,24384.6,375,2,24384.5,450,2,24384.4,825,3,24384.3,150,2,24384.2,300,1,24391.5,600,1,24391.6,75,1,24391.7,600,1,24391.8,750,2,24391.9,75,1
1745817412,2025-04-28 10:46:52,24391.5,1.05,3540675,12519450,6.67,498900,508575,24200.2,24415,24140,24139.1,24386.1,300,1,24386,375,2,24385.2,450,1,24385.1,75,1,24385,375,1,24392.5,675,2,24392.6,675,2,24392.7,675,2,24392.8,225,2,24392.9,150,2
1745817413,2025-04-28 10:46:53,24391.5,1.05,3540675,12519450,6.67,498900,508575,24200.2,24415,24140,24139.1,24386.1,300,1,24386,375,2,24385.2,450,1,24385.1,75,1,24385,375,1,24392.5,675,2,24392.6,675,2,24392.7,675,2,24392.8,225,2,24392.9,150,2
1745817414,2025-04-28 10:46:54,24392,1.05,3540750,12519450,6.67,498600,509775,24200.2,24415,24140,24139.1,24392,1725,1,24386.1,525,2,24386,75,1,24385.7,75,1,24385.6,75,1,24392.9,600,1,24393,750,2,24393.1,1050,3,24393.2,300,2,24393.3,75,1
1745817415,2025-04-28 10:46:55,24392,1.05,3540750,12519450,6.67,498600,509775,24200.2,24415,24140,24139.1,24392,1725,1,24386.1,525,2,24386,75,1,24385.7,75,1,24385.6,75,1,24392.9,600,1,24393,750,2,24393.1,1050,3,24393.2,300,2,24393.3,75,1
1745817416,2025-04-28 10:46:56,24392,1.05,3540975,12519450,6.67,494775,512925,24200.2,24415,24140,24139.1,24392,1650,1,24386.1,75,1,24386,75,1,24385.7,450,1,24385.6,75,1,24393,600,1,24393.1,1050,3,24393.2,750,2,24393.3,150,2,24393.4,1725,7
1745817417,2025-04-28 10:46:57,24392,1.05,3541050,12519450,6.67,487275,514050,24200.2,24415,24140,24139.1,24392,1575,1,24390,75,1,24386.1,75,1,24386,75,1,24385.2,450,1,24392.1,150,1,24392.4,600,1,24392.5,750,3,24392.6,750,3,24392.7,375,1
1745817418,2025-04-28 10:46:58,24392,1.05,3541050,12519450,6.67,487275,514050,24200.2,24415,24140,24139.1,24392,1575,1,24390,75,1,24386.1,75,1,24386,75,1,24385.2,450,1,24392.1,150,1,24392.4,600,1,24392.5,750,3,24392.6,750,3,24392.7,375,1
1745817419,2025-04-28 10:46:59,24392,1.05,3541050,12519450,6.67,496125,512325,24200.2,24415,24140,24139.1,24392,1575,1,24390,75,1,24386.2,450,1,24386.1,525,2,24386,150,2,24392.6,75,1,24393,375,1,24393.1,1050,5,24393.2,1350,5,24393.3,675,2
1745817420,2025-04-28 10:47:00,24392,1.05,3541050,12519450,6.67,496125,512325,24200.2,24415,24140,24139.1,24392,1575,1,24390,75,1,24386.2,450,1,24386.1,525,2,24386,150,2,24392.6,75,1,24393,375,1,24393.1,1050,5,24393.2,1350,5,24393.3,675,2
1745817421,2025-04-28 10:47:01,24390,1.04,3542625,12519450,6.67,430650,515025,24200.2,24415,24140,24139.1,24390,75,1,24386,75,1,24385,75,1,24384.2,75,1,24384.1,75,1,24390.6,825,3,24390.7,675,2,24390.8,675,2,24390.9,525,3,24391,450,2
1745817422,2025-04-28 10:47:02,24390,1.04,3542700,12519450,6.67,489150,514425,24200.2,24415,24140,24139.1,24386,75,1,24385,75,1,24383.4,150,1,24382.8,75,1,24382.6,75,1,24389.9,675,2,24390,675,2,24390.1,600,1,24390.2,75,1,24390.3,150,2
1745817423,2025-04-28 10:47:03,24386,1.02,3542700,12519450,6.67,489150,514425,24200.2,24415,24140,24139.1,24386,75,1,24385,75,1,24383.4,150,1,24382.8,75,1,24382.6,75,1,24389.9,675,2,24390,675,2,24390.1,600,1,24390.2,75,1,24390.3,150,2
1745817424,2025-04-28 10:47:04,24390.1,1.04,3543000,12519450,6.67,494250,510750,24200.2,24415,24140,24139.1,24383.9,375,1,24383.7,375,1,24383.5,375,1,24383.1,375,1,24383,750,2,24390.6,600,1,24390.7,750,3,24390.8,1125,4,24390.9,75,1,24391,225,3
1745817425,2025-04-28 10:47:05,24390.1,1.04,3543000,12519450,6.67,496050,514575,24200.2,24415,24140,24139.1,24383,375,1,24382.8,375,1,24382.4,75,1,24382.3,600,1,24382.2,75,1,24390.1,675,2,24390.2,750,3,24390.3,675,2,24390.4,525,3,24390.5,450,4
1745817426,2025-04-28 10:47:06,24382.6,1.01,3543000,12519450,6.67,496050,514575,24200.2,24415,24140,24139.1,24383,375,1,24382.8,375,1,24382.4,75,1,24382.3,600,1,24382.2,75,1,24390.1,675,2,24390.2,750,3,24390.3,675,2,24390.4,525,3,24390.5,450,4
1745817427,2025-04-28 10:47:07,24389.9,1.04,3543075,12519450,6.67,424200,509475,24200.2,24415,24140,24139.1,24382.4,375,1,24382,600,1,24381.9,450,2,24381.8,75,1,24381.5,600,1,24389.9,900,4,24390,1050,3,24390.1,1050,3,24390.2,300,3,24390.4,75,1
1745817428,2025-04-28 10:47:08,24389.9,1.04,3543075,12519450,6.67,424200,509475,24200.2,24415,24140,24139.1,24382.4,375,1,24382,600,1,24381.9,450,2,24381.8,75,1,24381.5,600,1,24389.9,900,4,24390,1050,3,24390.1,1050,3,24390.2,300,3,24390.4,75,1
